ID,PROFIT,WIDTH,HEIGHT,COPIES
0,396,11,36,11
1,630,30,21,4
2,476,17,28,9
3,693,21,33,2
4,312,26,12,10
5,828,36,23,3
6,1892,43,44,4
7,1419,43,33,6
8,1806,42,43,2
9,931,49,19,5
10,432,16,27,13
11,540,27,20,3
12,416,32,13,3
13,1558,38,41,3
14,2160,45,48,2
15,1395,31,45,4
16,200,20,10,5
17,675,25,27,4
18,280,20,14,26
19,240,15,16,29
20,1056,44,24,5
21,1710,45,38,1
22,1960,40,49,2
23,602,14,43,8
24,481,37,13,11
25,1880,47,40,3
26,1739,37,47,4
27,297,27,11,13
28,324,12,27,24
29,564,12,47,13
30,1100,44,25,2
31,688,16,43,11
32,1008,36,28,5
33,494,13,38,1
34,720,15,48,5
35,1230,41,30,2
36,506,46,11,17
37,1196,46,26,5
38,1554,42,37,1
39,1058,23,46,6
