ID,PROFIT,WIDTH,HEIGHT,COPIES
0,195,15,13,6
1,880,20,44,8
2,220,11,20,17
3,609,29,21,2
4,470,10,47,3
5,629,17,37,5
6,1872,39,48,2
7,725,29,25,8
8,1558,38,41,1
9,228,19,12,25
10,403,31,13,14
11,1026,27,38,6
12,645,43,15,3
13,1638,42,39,3
14,345,15,23,21
15,390,30,13,19
16,2021,47,43,4
17,384,32,12,16
18,1596,38,42,2
19,195,15,13,40
20,250,10,25,23
21,1144,44,26,4
22,1104,23,48,5
23,156,13,12,3
24,1927,41,47,2
25,1170,30,39,5
26,1665,37,45,1
27,324,12,27,10
28,242,22,11,9
29,546,21,26,1
30,351,27,13,4
31,735,15,49,11
32,264,11,24,28
33,516,12,43,8
34,264,12,22,25
35,1128,24,47,1
36,736,46,16,10
37,341,31,11,9
38,2115,47,45,4
39,280,20,14,20
