ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1848,42,44,2
1,551,19,29,5
2,992,31,32,5
3,240,24,10,38
4,357,17,21,1
5,980,35,28,5
6,1176,49,24,7
7,462,33,14,5
8,720,15,48,4
9,273,21,13,28
10,242,22,11,14
11,819,21,39,3
12,902,41,22,1
13,648,36,18,1
14,990,33,30,5
15,460,20,23,11
16,1209,39,31,4
17,546,39,14,4
18,924,22,42,6
19,1032,43,24,1
20,920,20,46,10
21,378,14,27,13
22,940,20,47,7
23,1222,26,47,1
24,459,17,27,7
25,1014,39,26,4
26,240,16,15,24
27,962,26,37,6
28,846,47,18,10
29,612,36,17,1
30,110,10,11,20
31,624,16,39,10
32,255,15,17,14
33,1369,37,37,3
34,1008,21,48,6
35,396,11,36,2
36,840,42,20,6
37,1739,47,37,2
38,1372,49,28,1
39,1170,26,45,4
