ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1128,24,47,2
1,462,42,11,18
2,630,45,14,8
3,1638,42,39,3
4,406,29,14,6
5,986,29,34,5
6,364,13,28,10
7,1558,41,38,1
8,858,26,33,4
9,912,19,48,7
10,1517,41,37,4
11,1150,46,25,7
12,198,18,11,28
13,1024,32,32,6
14,1360,34,40,4
15,1470,35,42,4
16,1127,49,23,6
17,1078,22,49,3
18,418,38,11,16
19,578,17,34,3
20,360,12,30,11
21,320,16,20,22
22,748,34,22,7
23,960,40,24,6
24,1350,30,45,1
25,2254,46,49,3
26,406,14,29,4
27,144,12,12,3
28,1911,39,49,1
29,304,16,19,16
30,840,35,24,4
31,806,31,26,7
32,602,14,43,14
33,255,17,15,19
34,704,16,44,12
35,240,24,10,36
36,644,28,23,3
37,1596,38,42,1
38,646,19,34,3
39,324,18,18,3
