ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1209,39,31,3
1,1044,36,29,6
2,234,13,18,27
3,1720,43,40,1
4,533,41,13,8
5,420,42,10,10
6,1932,42,46,3
7,1178,38,31,3
8,495,45,11,17
9,1610,35,46,4
10,864,18,48,6
11,684,19,36,2
12,2352,48,49,2
13,783,27,29,4
14,560,16,35,1
15,986,34,29,4
16,1392,48,29,5
17,432,36,12,13
18,552,23,24,11
19,2064,43,48,2
20,720,45,16,3
21,481,37,13,8
22,986,29,34,2
23,900,25,36,4
24,874,38,23,6
25,1320,44,30,5
26,999,37,27,2
27,459,27,17,7
28,294,14,21,25
29,1702,37,46,3
30,957,33,29,7
31,1147,37,31,5
32,1188,44,27,4
33,819,39,21,4
34,768,48,16,8
35,638,29,22,8
36,561,33,17,11
37,444,12,37,16
38,1710,38,45,3
39,364,28,13,21
