ID,PROFIT,WIDTH,HEIGHT,COPIES
0,612,34,18,5
1,238,17,14,27
2,1200,48,25,7
3,900,20,45,10
4,612,36,17,8
5,714,42,17,1
6,884,26,34,5
7,544,17,32,14
8,495,15,33,2
9,132,12,11,29
10,760,40,19,10
11,330,15,22,6
12,1980,44,45,3
13,1026,38,27,4
14,400,10,40,1
15,560,35,16,8
16,598,23,26,10
17,891,33,27,8
18,1892,44,43,1
19,672,48,14,2
20,434,31,14,19
21,300,12,25,31
22,990,33,30,3
23,204,12,17,34
24,816,17,48,4
25,1476,36,41,2
26,945,27,35,2
27,308,14,22,26
28,570,19,30,7
29,304,19,16,26
30,1519,49,31,5
31,221,17,13,17
32,672,24,28,8
33,696,24,29,7
34,1078,49,22,1
35,1274,26,49,5
36,1023,31,33,5
37,396,18,22,7
38,1960,49,40,1
39,372,12,31,20
