ID,PROFIT,WIDTH,HEIGHT,COPIES
0,850,25,34,1
1,234,13,18,25
2,598,26,23,6
3,390,15,26,16
4,231,21,11,34
5,640,20,32,6
6,880,22,40,3
7,576,36,16,8
8,220,22,10,5
9,187,17,11,39
10,870,29,30,3
11,1295,35,37,2
12,722,19,38,3
13,299,13,23,6
14,1568,32,49,4
15,616,28,22,7
16,368,16,23,5
17,408,24,17,12
18,989,23,43,1
19,736,46,16,10
20,693,21,33,6
21,874,19,46,9
22,864,36,24,2
23,490,49,10,13
24,434,31,14,17
25,1880,40,47,3
26,506,11,46,3
27,300,25,12,27
28,1215,27,45,1
29,1330,35,38,3
30,616,44,14,5
31,504,28,18,3
32,512,32,16,3
33,2009,41,49,3
34,336,28,12,24
35,228,19,12,1
36,988,38,26,1
37,1190,34,35,3
38,918,34,27,6
39,600,15,40,12
