ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1961,53,37,1
1,1500,25,60,1
2,4896,68,72,1
3,3404,46,74,1
4,2277,69,33,1
5,3328,64,52,1
6,1716,52,33,1
7,2256,47,48,1
8,2992,44,68,1
9,870,30,29,1
10,1443,39,37,1
11,1764,28,63,1
12,3604,53,68,1
13,3392,64,53,1
14,2035,37,55,1
15,3174,69,46,1
16,2552,44,58,1
17,832,26,32,1
18,4692,68,69,1
19,4422,67,66,1
20,2346,46,51,1
21,2067,53,39,1
22,4071,59,69,1
23,3417,67,51,1
24,1922,62,31,1
25,2451,43,57,1
26,3920,70,56,1
27,2331,63,37,1
28,2478,59,42,1
29,2622,46,57,1
30,2640,66,40,1
31,2542,62,41,1
32,1316,47,28,1
33,1232,28,44,1
34,1512,28,54,1
35,4347,63,69,1
36,1645,47,35,1
37,2070,46,45,1
38,2703,51,53,1
39,2580,60,43,1
