ID,PROFIT,WIDTH,HEIGHT,COPIES
0,2655,45,59,1
1,1711,29,59,1
2,2067,53,39,1
3,1935,43,45,1
4,3330,74,45,1
5,2691,69,39,1
6,1230,41,30,1
7,3888,54,72,1
8,3477,61,57,1
9,840,28,30,1
10,2808,52,54,1
11,1221,37,33,1
12,4536,63,72,1
13,2590,37,70,1
14,1431,53,27,1
15,4355,67,65,1
16,1624,28,58,1
17,5106,74,69,1
18,1935,43,45,1
19,2664,37,72,1
20,3256,44,74,1
21,1176,28,42,1
22,1595,29,55,1
23,3182,43,74,1
24,2220,30,74,1
25,1809,67,27,1
26,4234,58,73,1
27,4410,70,63,1
28,4356,66,66,1
29,775,31,25,1
30,3744,72,52,1
31,3192,57,56,1
32,4900,70,70,1
33,2263,31,73,1
34,4402,71,62,1
35,4026,66,61,1
36,2035,55,37,1
37,1066,26,41,1
38,3520,55,64,1
39,918,27,34,1
