ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1680,40,42,1
1,1586,61,26,1
2,3220,46,70,1
3,2162,47,46,1
4,1247,43,29,1
5,1118,43,26,1
6,1254,33,38,1
7,1888,32,59,1
8,1794,69,26,1
9,1716,39,44,1
10,1089,33,33,1
11,3692,52,71,1
12,2450,35,70,1
13,1026,27,38,1
14,4270,61,70,1
15,1050,30,35,1
16,1170,26,45,1
17,3763,53,71,1
18,1800,25,72,1
19,2166,38,57,1
20,4900,70,70,1
21,2360,59,40,1
22,960,30,32,1
23,1107,41,27,1
24,2184,42,52,1
25,2208,69,32,1
26,5037,69,73,1
27,1770,59,30,1
28,2380,68,35,1
29,3276,52,63,1
30,3520,55,64,1
31,1472,46,32,1
32,3534,62,57,1
33,1890,42,45,1
34,1794,46,39,1
35,1666,34,49,1
36,3465,63,55,1
37,1800,25,72,1
38,3953,59,67,1
39,1444,38,38,1
