ID,PROFIT,WIDTH,HEIGHT,COPIES
0,2950,59,50,1
1,3500,70,50,1
2,1675,25,67,1
3,2074,34,61,1
4,1995,35,57,1
5,3763,53,71,1
6,3082,67,46,1
7,3450,69,50,1
8,2726,58,47,1
9,2059,29,71,1
10,1085,31,35,1
11,3710,53,70,1
12,3128,68,46,1
13,2046,31,66,1
14,990,33,30,1
15,1305,29,45,1
16,1898,73,26,1
17,2208,32,69,1
18,5183,71,73,1
19,1564,46,34,1
20,1377,51,27,1
21,2268,42,54,1
22,2346,51,46,1
23,1100,25,44,1
24,725,25,29,1
25,837,27,31,1
26,2679,57,47,1
27,3021,53,57,1
28,1242,46,27,1
29,2394,38,63,1
30,2255,55,41,1
31,1560,30,52,1
32,3584,56,64,1
33,3328,64,52,1
34,2209,47,47,1
35,1558,41,38,1
36,2772,44,63,1
37,2418,39,62,1
38,2052,54,38,1
39,1209,39,31,1
