ID,PROFIT,WIDTH,HEIGHT,COPIES
0,2989,61,49,1
1,2438,53,46,1
2,3796,73,52,1
3,1836,51,36,1
4,4070,74,55,1
5,3358,73,46,1
6,1530,45,34,1
7,2208,48,46,1
8,4012,59,68,1
9,4012,59,68,1
10,2440,40,61,1
11,1920,48,40,1
12,3468,51,68,1
13,3752,56,67,1
14,1638,42,39,1
15,2832,48,59,1
16,3102,66,47,1
17,3360,70,48,1
18,3942,54,73,1
19,2193,43,51,1
20,2139,31,69,1
21,1122,34,33,1
22,2552,58,44,1
23,1974,47,42,1
24,1443,39,37,1
25,4355,67,65,1
26,1824,57,32,1
27,1476,41,36,1
28,3306,57,58,1
29,2046,66,31,1
