ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1521,39,39,3
1,3036,66,46,1
2,2304,48,48,1
3,2808,54,52,2
4,1008,28,36,4
5,3942,73,54,1
6,1705,31,55,3
7,4380,60,73,4
8,2660,70,38,3
9,1950,50,39,3
10,1457,47,31,3
11,1110,30,37,1
12,4026,66,61,2
13,3906,62,63,1
14,2145,65,33,4
15,3168,44,72,1
16,1961,53,37,4
17,1274,49,26,2
18,1769,61,29,1
19,1632,48,34,4
20,2074,34,61,1
21,4248,72,59,4
22,1904,28,68,4
23,1431,53,27,1
24,4088,56,73,2
25,3128,68,46,4
26,1680,56,30,2
27,2736,38,72,2
28,1932,69,28,2
29,1968,41,48,1
