ID,PROFIT,WIDTH,HEIGHT,COPIES
0,2880,60,48,2
1,1725,69,25,4
2,3504,73,48,3
3,2484,54,46,2
4,2795,43,65,4
5,3510,65,54,4
6,3484,52,67,2
7,4410,63,70,3
8,2394,57,42,3
9,1638,39,42,3
10,2240,56,40,1
11,3234,49,66,2
12,1674,27,62,3
13,3504,73,48,2
14,1196,26,46,1
15,3763,71,53,4
16,1116,31,36,2
17,3135,57,55,2
18,2336,73,32,4
19,4830,70,69,4
20,2304,64,36,1
21,1950,50,39,1
22,3430,49,70,3
23,2331,37,63,3
24,1692,36,47,2
25,4514,61,74,4
26,1440,30,48,3
27,2556,36,71,1
28,1881,33,57,4
29,4757,67,71,2
