        40       100       100
       195        15        13         6
       880        20        44         8
       220        11        20        17
       609        29        21         2
       470        10        47         3
       629        17        37         5
      1872        39        48         2
       725        29        25         8
      1558        38        41         1
       228        19        12        25
       403        31        13        14
      1026        27        38         6
       645        43        15         3
      1638        42        39         3
       345        15        23        21
       390        30        13        19
      2021        47        43         4
       384        32        12        16
      1596        38        42         2
       195        15        13        40
       250        10        25        23
      1144        44        26         4
      1104        23        48         5
       156        13        12         3
      1927        41        47         2
      1170        30        39         5
      1665        37        45         1
       324        12        27        10
       242        22        11         9
       546        21        26         1
       351        27        13         4
       735        15        49        11
       264        11        24        28
       516        12        43         8
       264        12        22        25
      1128        24        47         1
       736        46        16        10
       341        31        11         9
      2115        47        45         4
       280        20        14        20
