        40       100       100
       406        14        29        16
       660        22        30         9
      1092        26        42         5
      1395        31        45         1
       884        26        34         3
       390        30        13        18
      1365        39        35         1
       768        16        48         8
       546        39        14        11
      1628        37        44         1
      1848        44        42         3
       528        24        22        13
       225        15        15        32
      1692        36        47         3
       300        30        10        24
       648        18        36         6
       960        40        24         1
       294        14        21         9
       637        49        13        12
      1517        41        37         2
      2016        48        42         3
       420        35        12         9
      1036        37        28         4
       456        38        12         6
       294        21        14        12
       774        43        18         4
       756        42        18         5
       442        17        26         7
      1584        33        48         4
       748        44        17         4
      1089        33        33         7
       812        28        29         2
      1088        34        32         2
       420        20        21         8
      1960        49        40         4
      1728        48        36         4
       700        35        20        10
       204        12        17        33
      1190        35        34         1
       252        21        12        17
