200	100		
50					
7	44	205	8
11	60	361	3
38	32	929	7
17	72	1320	2
39	11	226	6
22	52	639	9
21	26	508	7
32	12	263	3
32	36	762	3
18	33	710	2
19	13	174	9
31	37	757	1
8	69	414	1
31	68	2465	8
24	74	974	1
7	73	736	4
27	30	549	8
12	64	573	6
20	64	1313	8
37	64	1748	4
20	12	142	4
34	18	623	3
20	30	302	1
8	71	315	1
40	80	1698	5
34	63	2989	2
33	63	1583	1
33	62	1370	3
23	32	441	4
9	28	329	6
30	24	944	2
10	54	672	7
24	10	235	7
31	71	2624	2
8	29	223	6
33	33	783	7
25	80	2000	9
29	55	827	1
6	54	244	3
13	21	392	5
17	52	528	9
26	70	957	1
14	26	469	6
24	25	392	3
39	50	2182	3
19	62	891	1
34	63	2531	7
38	23	1291	2
30	34	546	4
22	29	518	7
