250	250		
50						
8	54	406	3
18	11	184	9
20	34	511	4
13	34	443	5
40	55	3213	1
64	16	1041	3
5	15	64	6
77	33	2902	1
10	21	263	2
78	31	2506	1
16	52	1158	5
39	35	1395	7
17	54	1377	8
41	8	489	6
36	38	1726	3
50	39	1127	9
8	70	306	1
74	34	2371	4
7	21	213	1
26	34	739	8
8	65	360	2
15	29	252	1
5	12	40	1
15	40	602	5
30	67	2703	2
34	7	257	9
8	56	530	3
42	20	1135	6
13	46	488	7
40	19	929	7
35	37	1155	2
66	12	808	7
12	59	516	4
74	30	1515	9
30	53	1236	3
66	34	2124	7
36	62	1456	4
54	33	1029	4
18	28	275	9
30	15	412	3
7	14	143	4
55	17	1038	2
21	23	559	1
64	23	780	6
14	74	958	7
18	13	229	1
15	29	272	6
38	29	1594	5
18	72	1702	2
29	13	507	4
