100	200		
25						
27	27	982	9
39	71	1647	2
22	50	1510	9
31	40	817	6
27	54	2028	6
33	31	1326	8
12	15	253	6
25	53	997	5
20	25	501	3
8	53	251	9
39	26	969	3
36	48	967	8
30	17	663	4
36	29	580	7
24	27	356	4
31	48	2160	8
18	39	516	9
26	17	662	3
26	28	519	1
24	20	317	4
31	13	207	2
24	15	485	1
10	38	524	1
6	61	190	5
39	50	1080	4
33	58	1281	2
16	10	157	6
6	28	232	6
12	57	982	9
20	43	1156	3
32	50	1883	2
31	30	580	3
17	75	697	3
13	14	131	2
24	18	642	5
16	59	1357	3
14	11	187	3
34	38	1281	9
13	54	479	1
36	56	1123	8
16	46	669	7
38	51	2056	9
35	32	1582	1
18	15	317	1
5	50	138	5
30	10	253	4
29	10	304	8
28	35	1322	9
25	78	2687	1
28	37	795	5
