150	150		
25						
21	49	1513	6
38	46	2408	5
7	23	119	9
19	68	1910	3
36	51	2118	7
10	73	511	3
24	59	1482	7
22	11	214	5
32	77	3051	7
5	76	435	1
20	73	2178	1
13	32	326	8
8	22	200	8
11	60	881	3
23	15	331	9
13	68	1032	1
19	48	1067	4
6	14	53	3
14	33	490	6
17	66	886	3
22	39	557	9
23	23	788	1
18	61	1058	3
18	50	1149	7
19	73	1178	3
36	59	2998	1
31	46	2098	3
32	71	2229	6
5	38	195	9
29	56	1304	3
21	17	466	2
22	66	1665	1
5	21	131	3
33	33	1540	5
11	46	493	9
25	72	2030	1
40	30	1499	4
17	48	516	2
9	18	119	6
15	12	213	3
38	76	4040	7
27	48	1439	3
21	44	622	5
35	12	270	1
26	41	544	3
24	62	2125	7
15	59	1068	2
40	55	1864	6
26	64	835	3
28	76	1866	3
