100	200		
25						
39	48	1244	9
31	69	1283	8
29	79	1983	8
21	21	496	8
15	27	287	9
6	57	183	2
37	31	767	7
31	80	2789	9
10	20	214	2
16	55	833	3
23	57	1293	1
25	32	922	5
30	57	2439	6
20	70	822	1
26	61	1256	7
10	13	147	2
15	40	718	8
29	17	299	1
36	56	2504	2
25	13	345	7
7	77	392	4
21	74	1761	2
17	22	230	1
7	18	186	7
6	63	561	1
24	59	1504	7
38	44	1073	7
23	50	1529	4
31	23	577	5
33	17	487	4
27	44	1295	1
35	21	834	2
26	23	503	9
11	54	539	2
9	53	239	1
11	80	584	3
32	26	668	5
14	78	769	2
25	43	1200	6
8	45	447	7
22	61	781	2
8	57	597	1
7	44	166	2
5	76	490	1
5	24	75	6
6	69	380	3
36	50	1491	2
10	50	539	3
14	27	207	3
23	27	907	4
