200	100		
25						
29	70	2132	7
5	79	317	7
10	58	615	9
20	49	1286	5
34	24	765	7
29	52	1441	8
17	59	968	7
15	11	212	3
23	39	921	8
16	19	363	5
23	73	2178	6
7	29	302	1
26	13	325	7
13	40	413	9
29	71	2807	4
20	16	342	4
38	10	529	2
7	66	526	1
34	56	2280	2
32	10	229	3
25	67	1584	5
27	41	1193	5
40	79	2348	5
29	48	1226	5
16	12	199	2
18	17	220	9
7	25	184	1
31	59	1177	2
12	15	137	5
32	20	959	5
8	72	821	5
35	58	1928	3
26	42	1197	3
33	78	2051	3
21	18	261	5
26	58	1188	1
19	51	572	2
17	57	1013	2
10	27	224	3
7	39	246	1
25	71	1177	7
26	79	1358	4
19	45	958	9
13	78	563	2
18	15	263	2
31	67	3069	7
28	64	1125	9
30	79	2152	9
16	42	430	7
7	75	504	4
