200	100		
50					
7	79	672	2
27	34	799	3
20	19	275	7
10	20	192	1
15	21	266	5
5	56	419	4
23	12	191	1
22	44	856	8
40	24	1310	5
7	76	293	8
38	33	1266	6
36	16	855	8
8	24	195	5
24	75	1303	9
27	78	1596	4
40	37	1728	7
18	39	721	9
24	36	498	9
18	69	635	2
15	26	216	5
5	16	99	4
18	49	1284	3
22	42	715	5
17	67	1315	7
6	57	340	1
22	29	874	6
39	53	1843	4
20	31	379	9
9	63	514	6
35	67	1947	7
19	76	1336	2
21	76	1153	1
17	47	898	6
25	20	637	2
11	11	70	8
21	66	1424	2
13	65	730	7
27	77	2003	2
25	57	1934	1
5	63	231	1
12	39	342	8
13	36	265	4
29	19	320	4
38	57	3108	1
25	79	1874	9
13	46	847	1
5	71	232	5
31	67	1934	6
12	63	1076	8
40	50	1128	6
