150	150		
25						
22	39	808	1
32	5	94	2
28	64	1573	7
36	10	462	9
37	40	1468	3
47	15	464	9
23	26	867	8
41	23	564	3
31	23	781	2
79	8	394	6
24	65	2128	7
21	25	749	7
16	12	230	6
56	24	1430	2
7	37	308	7
72	36	2816	4
21	78	1098	2
76	31	1863	6
11	18	171	4
56	33	1060	4
8	46	362	9
60	39	1884	3
31	71	1443	4
13	35	406	5
40	29	638	2
12	13	226	1
25	15	532	3
69	16	1020	1
32	73	2992	6
58	6	285	2
32	56	1777	3
54	28	1872	8
11	58	339	3
38	38	1813	9
38	38	2112	4
33	20	668	7
5	47	277	9
24	34	493	7
30	60	940	8
61	18	976	3
14	62	1218	1
69	16	1487	1
40	62	2773	1
60	7	445	9
27	43	1180	8
75	19	882	9
18	45	790	6
61	9	379	3
17	18	291	6
46	13	330	2
