 50 
 250 250 
 139 103 14317 
 166 99 16434 
 88 74 6512 
 174 139 24186 
 128 109 13952 
 175 179 31325 
 62 82 5084 
 178 87 15486 
 121 77 9317 
 125 97 12125 
 73 84 6132 
 69 97 6693 
 122 159 19398 
 66 69 4554 
 111 118 13098 
 165 86 14190 
 71 83 5893 
 163 162 26406 
 67 132 8844 
 121 152 18392 
 68 150 10200 
 138 124 17112 
 141 105 14805 
 183 122 22326 
 171 63 10773 
 101 64 6464 
 103 95 9785 
 110 107 11770 
 184 158 29072 
 85 97 8245 
 86 92 7912 
 127 155 19685 
 92 147 13524 
 106 97 10282 
 177 108 19116 
 164 150 24600 
 68 84 5712 
 62 151 9362 
 123 134 16482 
 158 178 28124 
 70 140 9800 
 173 117 20241 
 147 136 19992 
 141 145 20445 
 84 164 13776 
 144 141 20304 
 92 103 9476 
 156 98 15288 
 160 111 17760 
 127 131 16637 
