 32 
 3000 3000 
 365 185 67525 
 378 200 75600 
 410 165 67650 
 425 148 62900 
 425 296 125800 
 439 116 50924 
 464 1006 466784 
 520 205 106600 
 520 350 182000 
 540 530 286200 
 549 1413 775737 
 549 1882 1033218 
 553 496 274288 
 555 755 419025 
 555 496 275280 
 555 659 365745 
 567 473 268191 
 572 592 338624 
 572 975 557700 
 572 1175 672100 
 572 1575 900900 
 572 1390 795080 
 572 1490 852280 
 572 1590 909480 
 572 1690 966680 
 572 1890 1081080 
 610 625 381250 
 660 490 323400 
 690 447 308430 
 949 445 422305 
 949 478 453622 
 970 463 449110 
