 50 
 500 500 
 277 242 67034 
 233 177 41241 
 182 216 39312 
 147 134 19698 
 213 127 27051 
 315 212 66780 
 261 175 45675 
 210 281 59010 
 243 256 62208 
 159 314 49926 
 217 147 31899 
 260 349 90740 
 222 199 44178 
 296 127 37592 
 263 302 79426 
 226 250 56500 
 264 344 90816 
 237 179 42423 
 245 137 33565 
 137 328 44936 
 321 154 49434 
 200 174 34800 
 270 128 34560 
 299 179 53521 
 165 370 61050 
 198 182 36036 
 155 295 45725 
 278 219 60882 
 184 155 28520 
 187 270 50490 
 208 293 60944 
 261 204 53244 
 344 168 57792 
 213 135 28755 
 362 162 58644 
 362 374 135388 
 237 322 76314 
 281 308 86548 
 155 344 53320 
 210 163 34230 
 325 225 73125 
 360 225 81000 
 346 347 120062 
 131 144 18864 
 284 284 80656 
 262 228 59736 
 146 178 25988 
 254 164 41656 
 332 238 79016 
 313 304 95152 
