 50 
 1000 1000 
 572 665 380380 
 482 640 308480 
 264 594 156816 
 349 566 197534 
 276 660 182160 
 745 422 314390 
 434 622 269948 
 446 433 193118 
 668 506 338008 
 405 635 257175 
 486 320 155520 
 554 549 304146 
 392 491 192472 
 459 528 242352 
 426 579 246654 
 728 359 261352 
 644 465 299460 
 382 323 123386 
 268 352 94336 
 324 512 165888 
 277 426 118002 
 254 685 173990 
 483 532 256956 
 678 414 280692 
 546 590 322140 
 716 640 458240 
 542 400 216800 
 634 596 377864 
 497 696 345912 
 417 300 125100 
 290 605 175450 
 321 520 166920 
 543 290 157470 
 599 269 161131 
 467 679 317093 
 583 421 245443 
 729 723 527067 
 465 590 274350 
 614 585 359190 
 446 327 145842 
 734 616 452144 
 479 606 290274 
 656 278 182368 
 537 355 190635 
 604 519 313476 
 746 596 444616 
 439 281 123359 
 339 405 137295 
 273 526 143598 
 625 568 355000 
