ID,WIDTH,HEIGHT,GROUP
0,12,46,0
1,16,13,1
2,21,17,2
3,6,19,3
4,16,5,4
5,7,6,5
6,21,27,6
7,10,16,7
8,39,25,8
9,12,36,9
10,6,10,10
11,61,13,11
12,3,20,12
13,19,31,13
14,30,51,14
15,22,12,14
16,26,4,15
17,25,6,16
18,6,19,16
19,7,28,17
20,23,31,18
21,57,37,18
22,50,62,18
23,28,65,18
24,11,8,18
25,30,56,19
26,19,9,20
27,5,15,21
28,30,8,22
29,8,33,23
30,24,17,23
31,46,13,24
32,15,22,24
33,36,91,25
34,26,13,26
35,8,14,27
36,9,19,28
37,5,6,28
38,62,12,29
39,9,50,30
40,8,12,31
41,15,64,32
42,27,26,33
43,8,16,33
44,7,33,34
45,12,63,35
46,14,30,36
47,7,3,36
48,18,14,36
49,43,34,37
50,2,7,37
51,37,6,38
52,16,26,39
53,8,3,39
54,66,25,40
55,11,29,41
56,14,4,42
57,83,16,42
58,22,9,43
59,30,7,44
60,18,14,45
61,26,14,46
62,4,4,47
63,14,17,48
64,18,78,49
65,8,13,50
66,59,30,51
67,22,47,52
68,19,21,53
69,18,3,54
70,40,13,55
71,18,16,56
72,4,7,57
