ID,WIDTH,HEIGHT,GROUP
0,17,23,0
1,12,15,1
2,18,43,2
3,9,30,3
4,20,8,4
5,97,16,5
6,31,17,6
7,15,7,7
8,12,11,8
9,64,17,9
10,16,41,10
11,10,34,11
12,55,12,12
13,40,73,13
14,11,53,14
15,11,12,15
16,14,35,16
17,33,5,17
18,17,57,18
19,20,18,19
20,11,23,20
21,11,4,21
22,52,14,21
23,25,4,21
24,12,3,22
25,28,14,23
26,24,76,24
27,43,14,25
28,20,58,25
29,29,20,26
30,27,13,26
31,4,1,27
32,34,9,27
33,36,7,28
34,63,12,28
35,16,27,29
36,20,56,30
37,12,26,31
38,7,12,32
39,13,35,33
40,2,3,34
41,42,11,35
42,13,39,36
43,38,19,37
44,4,21,37
45,1,3,38
46,17,11,39
47,47,68,40
48,18,22,41
49,32,32,41
50,25,19,41
51,2,13,42
52,7,11,43
53,11,23,44
54,9,26,45
55,7,31,46
56,23,15,47
57,18,22,48
58,25,74,49
59,24,10,49
60,7,45,49
61,30,27,50
62,8,40,51
63,20,30,52
64,4,27,52
65,15,31,53
66,16,30,54
67,15,81,55
68,9,42,55
69,6,10,56
70,8,34,57
71,82,14,57
72,52,17,57
