ID,WIDTH,HEIGHT,GROUP
0,91,14,0
1,49,8,1
2,4,9,1
3,34,6,2
4,42,11,3
5,4,8,3
6,9,15,4
7,9,3,5
8,5,23,6
9,18,16,7
10,14,60,8
11,39,23,9
12,9,3,10
13,30,9,11
14,21,41,12
15,8,23,13
16,35,23,14
17,11,4,15
18,27,49,15
19,9,8,16
20,23,4,16
21,10,3,16
22,9,12,17
23,23,68,18
24,4,23,19
25,18,29,20
26,18,10,21
27,30,19,21
28,30,9,21
29,79,16,22
30,5,20,23
31,69,27,23
32,27,12,24
33,37,9,25
34,42,11,26
35,23,86,26
36,12,32,27
37,19,49,28
38,42,10,29
39,20,28,30
40,5,19,31
41,4,2,32
42,26,7,33
43,31,7,34
44,16,24,35
45,18,55,35
46,25,9,36
47,4,21,37
48,8,47,38
49,28,96,39
50,7,23,40
51,9,31,41
52,14,59,42
53,19,14,43
54,17,58,44
55,14,35,45
56,3,2,46
57,61,22,47
58,90,30,48
59,10,18,49
60,58,20,50
61,54,12,51
62,3,13,52
63,33,22,52
64,1,5,52
65,51,8,53
66,65,13,53
67,15,21,54
68,81,21,55
69,4,11,55
70,13,5,56
71,5,16,56
72,13,88,57
