        40       100       100
      1600        64        25         1
      3780        54        70         1
      3654        63        58         1
      3400        68        50         1
      3430        49        70         1
      3721        61        61         1
      2990        46        65         1
      2170        70        31         1
      2940        70        42         1
      3481        59        59         1
      3330        74        45         1
      4453        73        61         1
      2808        54        52         1
      1610        35        46         1
      1102        38        29         1
      1900        38        50         1
      3770        65        58         1
      4968        69        72         1
      2405        37        65         1
      2736        57        48         1
      3900        60        65         1
      1258        34        37         1
      1760        55        32         1
      1406        38        37         1
      1023        31        33         1
      1647        27        61         1
      2501        41        61         1
      1980        45        44         1
       960        30        32         1
      3450        50        69         1
      3604        68        53         1
      2310        55        42         1
      2646        49        54         1
      4970        71        70         1
      2460        41        60         1
      2368        37        64         1
       754        26        29         1
      2080        40        52         1
      2310        42        55         1
      2440        40        61         1
