        30       100       100
       629        37        17         1
      1222        26        47         1
       651        21        31         1
       435        15        29         1
      1776        48        37         1
      1000        40        25         1
      1886        41        46         1
       640        40        16         1
       990        33        30         1
       585        15        39         1
      1848        44        42         1
      1056        22        48         1
      1440        32        45         1
       238        17        14         1
       897        39        23         1
       510        15        34         1
      1122        34        33         1
       946        22        43         1
      1332        37        36         1
      1776        48        37         1
      1520        40        38         1
      1739        47        37         1
       300        20        15         1
      1080        36        30         1
      1520        40        38         1
       231        11        21         1
       704        22        32         1
       752        16        47         1
       380        19        20         1
      1334        46        29         1
