        40       100       100
      4615        71        65         1
      1872        39        48         1
      2176        34        64         2
      3726        69        54         1
      2788        41        68         1
      1302        31        42         6
      3136        56        56         1
       754        26        29         4
       910        26        35         1
      3477        61        57         1
      1368        38        36         1
      1848        44        42         1
      3417        51        67         1
      4290        66        65         1
      1444        38        38         1
      1378        26        53         3
      1892        44        43         4
       870        30        29         9
      2700        50        54         2
      2170        35        62         1
      3640        70        52         1
      3996        54        74         1
      2793        49        57         2
      2736        72        38         2
      3120        60        52         1
      3408        71        48         2
       858        26        33         8
      3034        74        41         1
      1696        32        53         3
      3480        58        60         1
      1566        58        27         1
      2475        55        45         2
      3300        60        55         1
      1500        60        25         1
      1680        42        40         4
      1480        40        37         4
      2632        47        56         1
      1500        50        30         1
      1911        39        49         4
      1209        39        31         3
