        40       100       100
      2009        49        41         3
      1472        32        46         1
      3120        65        48         2
      3774        74        51         1
      3672        72        51         1
      3717        59        63         1
      5112        72        71         1
      1674        27        62         3
      3220        46        70         1
      2304        48        48         3
      2058        49        42         3
      4118        71        58         1
      2130        30        71         3
      1292        38        34         1
      2160        54        40         1
      2077        31        67         3
      3780        60        63         1
      1740        58        30         3
      4080        68        60         1
      3498        53        66         1
      2574        66        39         1
      1980        30        66         3
      4480        70        64         1
      2756        53        52         1
      2166        57        38         1
      3570        51        70         1
      4189        71        59         1
      4620        66        70         1
      2695        55        49         2
      3010        70        43         2
      4320        72        60         1
      1755        65        27         3
      1972        34        58         1
      2379        61        39         1
      2318        38        61         2
      2592        54        48         1
      1326        34        39         4
      1568        32        49         3
      1400        25        56         4
      2278        34        67         1
