ID,WIDTH,HEIGHT,GROUP
0,3,4,0
1,5,11,0
2,7,2,0
3,7,12,0
4,6,5,0
5,7,8,0
6,2,6,0
7,5,8,1
8,3,11,2
9,5,11,2
10,1,4,2
11,6,12,3
12,8,4,4
13,8,3,5
14,7,10,5
15,8,8,5
16,8,8,6
17,4,5,6
18,2,7,6
19,1,9,7
20,2,1,7
21,4,11,8
22,8,3,8
23,3,10,9
24,8,2,9
25,7,12,9
26,8,11,9
27,6,8,10
28,1,11,11
29,4,5,11
30,8,12,12
31,3,1,12
32,7,12,12
33,1,8,12
34,1,9,13
35,3,12,13
36,7,7,13
37,3,7,14
38,3,10,14
39,4,3,15
40,4,11,16
41,3,10,17
42,8,9,17
43,3,8,17
44,5,10,18
45,8,7,19
46,4,8,19
47,1,1,19
48,6,11,20
49,6,3,20
50,7,1,20
51,7,4,20
52,3,2,20
53,7,4,21
54,3,3,22
55,3,8,22
56,6,8,23
57,4,8,23
58,2,3,23
59,5,6,23
