ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1650,25,66,2
1,1634,43,38,2
2,1984,64,31,4
3,2150,50,43,1
4,2232,36,62,4
5,1989,39,51,2
6,1742,67,26,2
7,4209,69,61,1
8,2508,57,44,3
9,1036,28,37,3
10,2590,70,37,2
11,3570,51,70,2
12,2244,44,51,2
13,3484,52,67,1
14,2948,44,67,3
15,775,31,25,3
16,1512,42,36,4
17,4002,58,69,4
18,2072,37,56,4
19,4047,71,57,2
20,3752,56,67,4
21,2368,74,32,1
22,3337,71,47,2
23,3953,59,67,3
24,3953,59,67,2
25,3520,64,55,3
26,2701,37,73,3
27,1872,36,52,2
28,3540,59,60,1
29,2752,43,64,3
30,1247,29,43,1
31,1978,46,43,2
32,1190,35,34,1
33,1806,42,43,2
34,1248,32,39,1
35,3190,55,58,1
36,4536,63,72,2
37,2535,65,39,2
38,812,28,29,1
39,1064,38,28,4
