ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1960,56,35,3
1,3480,58,60,3
2,1710,57,30,2
3,4118,58,71,3
4,2714,59,46,4
5,775,31,25,2
6,1176,28,42,1
7,1144,26,44,4
8,2262,58,39,2
9,3478,47,74,3
10,1736,56,31,2
11,1598,34,47,1
12,4347,69,63,4
13,1564,46,34,2
14,3774,74,51,2
15,2242,59,38,3
16,1428,51,28,2
17,2940,70,42,2
18,1443,39,37,2
19,3640,52,70,4
20,2856,56,51,2
21,1650,30,55,1
22,4752,66,72,4
23,2303,47,49,3
24,1107,41,27,4
25,1650,66,25,3
26,3990,70,57,2
27,2052,36,57,2
28,1550,62,25,4
29,2220,74,30,4
30,2072,28,74,4
31,1739,37,47,3
32,868,28,31,4
33,2000,50,40,3
34,1496,44,34,2
35,3430,49,70,3
36,4356,66,66,1
37,1184,32,37,3
38,2856,68,42,3
39,2520,56,45,2
