ID,PROFIT,WIDTH,HEIGHT,COPIES
0,2262,58,39,2
1,2772,42,66,1
2,1624,56,29,1
3,2576,46,56,1
4,1938,57,34,3
5,2430,54,45,3
6,1275,25,51,4
7,1120,35,32,2
8,1632,48,34,2
9,1701,63,27,2
10,676,26,26,3
11,1711,29,59,2
12,1702,37,46,3
13,1575,25,63,2
14,3540,59,60,1
15,2365,43,55,3
16,812,29,28,1
17,3577,49,73,4
18,1638,39,42,1
19,2898,46,63,3
20,1647,27,61,3
21,2622,69,38,4
22,2088,29,72,2
23,2205,63,35,4
24,1598,34,47,3
25,2808,52,54,4
26,2700,50,54,3
27,1419,33,43,3
28,3540,59,60,3
29,2013,33,61,4
30,825,33,25,3
31,1806,43,42,1
32,1620,36,45,3
33,3363,59,57,4
34,1505,43,35,4
35,1296,48,27,2
36,4410,63,70,2
37,1204,43,28,4
38,625,25,25,4
39,3575,65,55,2
