ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1653,57,29,1
1,2448,36,68,1
2,3780,60,63,3
3,3250,50,65,1
4,1768,26,68,1
5,2088,58,36,1
6,3082,46,67,1
7,3078,57,54,2
8,2530,46,55,3
9,5037,69,73,1
10,2040,68,30,3
11,1392,29,48,1
12,3120,65,48,1
13,2356,38,62,2
14,1406,38,37,2
15,2162,47,46,4
16,4200,70,60,3
17,2622,38,69,4
18,2332,53,44,4
19,1827,29,63,3
20,3933,69,57,1
21,2080,65,32,2
22,1258,34,37,2
23,2124,36,59,3
24,1400,56,25,2
25,1350,54,25,3
26,725,29,25,2
27,2280,38,60,1
28,3404,74,46,1
29,2444,47,52,2
30,1598,34,47,3
31,1134,42,27,1
32,3819,67,57,2
33,1591,43,37,4
34,1395,31,45,3
35,3283,67,49,1
36,2479,37,67,2
37,1247,29,43,1
38,1566,27,58,1
39,1040,26,40,4
