ID,WIDTH,HEIGHT,COPIES,PROFIT
0,1189,527,10,112807
1,1242,374,9,218043
2,1296,178,9,70135
3,1280,548,7,335940
4,1341,278,6,114552
5,332,294,8,33664
6,850,247,4,35404
7,902,158,7,88888
8,706,540,6,198748
9,1190,529,9,103763
10,1303,589,9,461226
11,993,461,10,144309
12,638,549,8,170241
13,665,315,9,133650
14,883,188,6,103482
15,450,434,8,56718
16,550,597,3,107999
17,354,245,8,53562
18,381,250,5,20918
19,1042,492,7,111883
20,1342,308,8,178520
21,962,115,6,59851
22,455,532,5,139776
23,959,604,9,164984
24,609,280,3,40709
25,1018,434,8,141557
26,530,497,6,126532
27,512,187,10,31620
28,1102,428,3,192070
29,981,581,7,113090
30,746,303,8,68308
31,944,565,6,94751
32,315,322,7,38971
33,760,151,4,38534
34,1059,415,10,134990
35,494,318,5,85685
36,729,457,4,77145
37,724,539,6,252010
38,1198,451,7,112761
39,315,103,9,5939
40,695,593,9,115911
41,985,588,7,371562
42,1236,119,7,28010
43,644,150,4,59992
44,957,198,10,84829
45,1140,141,9,50069
46,828,300,9,84920
47,969,382,5,65154
48,353,193,4,18759
49,908,226,10,59301
50,260,544,4,30054
51,409,116,8,28523
52,1031,343,6,194500
53,433,501,7,71859
54,241,165,7,17380
55,739,165,5,63736
56,1193,148,6,97362
57,720,480,5,129162
58,1319,242,8,202798
59,388,227,4,48733
60,269,113,7,8382
61,690,599,3,72365
62,970,471,5,246394
63,1037,489,10,112966
64,1289,574,3,152474
65,374,473,7,56401
66,554,386,4,117864
67,450,330,10,91610
68,326,557,7,83246
69,1085,602,3,383278
70,989,430,4,78638
