ID,WIDTH,HEIGHT,COPIES,PROFIT
0,952,323,3,55359
1,995,229,7,106957
2,1038,109,8,34398
3,1026,336,4,165104
4,1075,170,4,56155
5,266,180,7,16513
6,681,151,3,17341
7,723,96,7,43290
8,565,331,7,97494
9,953,324,7,50896
10,1044,361,7,226497
11,796,282,4,70763
12,511,336,5,83451
13,532,193,5,65509
14,707,115,10,50683
15,361,266,7,27887
16,440,366,4,52968
17,284,150,8,26309
18,305,153,4,10248
19,835,301,9,54851
20,1076,189,9,87833
21,771,70,6,29198
22,365,326,7,68710
23,769,370,8,81043
24,488,172,10,20038
25,816,265,5,69283
26,425,304,6,62063
27,410,114,3,15436
28,883,262,8,94210
29,786,356,4,55520
30,598,185,4,33432
31,756,346,7,46469
32,252,197,9,19074
33,609,92,4,18813
34,848,254,10,66159
35,396,195,4,42119
36,584,280,9,37865
37,580,330,8,123604
38,960,276,4,55298
39,252,63,10,2906
40,557,363,9,56865
41,789,360,5,182220
42,990,73,5,13763
43,516,92,10,29482
44,766,121,8,41493
45,913,86,4,24457
46,663,184,8,41705
47,776,234,10,31962
48,283,118,8,9195
49,727,138,4,28992
50,208,333,4,14718
51,327,71,7,13958
52,826,210,9,95404
53,347,307,3,35288
