ID,WIDTH,HEIGHT,COPIES,PROFIT
0,573,819,5,84486
1,599,581,9,163362
2,625,277,9,52635
3,617,852,6,251765
4,647,432,3,85885
5,160,457,9,25218
6,410,383,7,26480
7,435,245,4,66472
8,340,839,7,148711
9,573,821,5,77542
10,628,915,5,345331
11,479,716,3,108117
12,307,853,6,127280
13,320,490,9,100042
14,426,292,6,77543
15,217,675,3,42539
16,265,927,3,80800
17,171,380,5,40130
18,184,388,7,15679
19,502,765,5,83810
20,647,479,6,133851
21,464,179,5,44934
22,219,826,9,104456
23,462,937,6,123302
24,293,436,8,30498
25,491,673,6,105874
26,255,773,6,94687
27,247,291,6,23738
28,531,666,10,144014
29,473,903,5,84748
30,360,471,10,51240
31,455,878,8,70969
32,151,500,8,29008
33,366,234,4,28758
34,510,645,8,101039
35,238,494,10,64129
36,352,710,10,57872
37,349,838,8,188869
38,578,701,10,84562
39,151,160,3,4422
40,335,921,10,86774
41,475,913,3,278216
42,596,185,10,20998
43,310,233,10,44858
44,461,308,6,63565
45,550,219,10,37519
46,399,467,8,63702
47,467,593,10,48745
48,170,299,5,13996
49,437,351,5,44326
50,125,844,8,22417
51,197,180,6,21318
52,497,533,10,145697
53,209,778,7,53862
54,116,256,7,12979
55,356,256,3,47637
56,575,230,5,72926
57,347,746,5,96745
58,636,376,3,151932
59,187,353,5,36524
60,130,175,9,6274
61,332,930,4,54060
62,467,732,3,184360
63,500,760,3,84653
64,621,891,4,114025
65,180,735,7,42181
66,267,600,4,88297
67,217,513,8,68674
68,157,864,5,62188
69,523,935,7,286946
70,477,668,4,58920
71,527,785,10,150848
72,432,695,10,114820
73,372,409,6,71586
74,210,261,4,32621
75,120,270,4,11822
76,120,444,8,23643
77,131,657,10,28900
78,537,523,9,181315
79,111,375,10,16354
80,602,769,5,216282
81,277,500,9,70123
82,608,625,5,83957
83,486,464,8,107653
84,624,669,5,237190
85,564,185,10,29390
86,386,581,5,52718
87,141,203,4,5397
88,333,848,6,99021
89,511,482,9,38385
90,612,896,9,295271
91,326,306,7,22757
