ID,WIDTH,HEIGHT,COPIES,PROFIT
0,396,1002,7,71435
1,414,711,3,138172
2,432,339,7,44524
3,426,1043,5,212797
4,447,529,8,72660
5,110,560,10,21245
6,283,469,10,22382
7,300,300,7,56134
8,235,1027,3,125818
9,396,1006,8,65665
10,434,1120,6,292120
11,331,877,9,91511
12,212,1044,10,107574
13,221,600,3,84602
14,294,357,10,65428
15,150,826,8,35983
16,183,1135,3,68317
17,118,465,5,33886
18,127,475,10,13248
19,347,936,8,70882
20,447,586,5,113133
21,320,219,6,37914
22,151,1011,9,88153
23,319,1148,8,104308
24,203,533,6,25831
25,339,824,8,89499
26,176,946,7,79978
27,170,356,8,19987
28,367,815,3,121803
29,327,1105,6,71695
30,248,576,7,43168
31,314,1074,6,59910
32,105,612,9,24690
33,253,287,3,24381
34,353,790,6,85656
35,164,605,6,54119
36,243,869,10,48898
37,241,1025,9,159526
38,399,858,7,71448
39,105,196,3,3767
40,231,1127,9,73218
41,328,1118,8,235252
42,412,226,8,17732
43,214,285,7,37877
44,319,377,8,53839
45,380,268,10,31722
46,276,571,10,53877
47,323,726,8,41276
48,117,367,7,11823
49,302,429,4,37440
50,86,1034,8,18895
51,136,220,5,17987
52,343,653,5,123190
53,144,953,7,45458
54,80,314,10,10979
55,246,313,10,40247
56,397,281,5,61515
57,240,913,3,81892
58,439,460,6,128300
59,129,432,7,30834
60,89,215,3,5277
61,230,1138,7,45827
62,323,896,8,156080
63,345,931,4,71553
64,429,1091,6,96452
65,124,900,3,35581
66,184,734,5,74438
67,150,628,7,58112
68,108,1058,8,52384
69,361,1144,8,242337
70,329,817,4,49703
71,364,961,8,127551
