ID,WIDTH,HEIGHT,COPIES,PROFIT
0,298,430,3,23069
1,312,305,6,44669
2,325,145,7,14327
3,322,447,5,68934
4,337,227,5,23506
5,83,240,8,6870
6,213,201,3,7220
7,226,129,7,18184
8,177,440,8,40600
9,299,431,4,21242
10,327,480,6,94329
11,249,376,6,29514
12,160,448,3,34839
13,167,257,4,27383
14,222,153,8,21173
15,113,354,10,11617
16,138,487,7,22105
17,89,199,7,10938
18,95,204,3,4256
19,262,401,5,22929
20,337,251,8,36533
21,242,94,8,12307
22,114,433,10,28504
23,241,492,9,33773
24,153,229,8,8364
25,256,353,4,28954
26,133,405,4,25875
27,128,153,3,6468
28,277,349,6,39368
29,246,474,6,23136
30,187,247,10,13958
31,237,461,8,19409
32,79,262,5,7952
33,191,123,6,7889
34,266,338,5,27616
35,124,259,10,17517
36,183,373,8,15806
37,182,440,4,51715
38,301,368,5,23118
39,79,84,7,1215
40,174,483,6,23636
41,247,479,7,75901
42,310,97,4,5726
43,161,122,9,12198
44,240,161,9,17298
45,286,115,8,10245
46,208,245,4,17422
47,243,311,10,13302
48,88,157,3,3804
49,228,184,7,12123
50,65,443,9,6119
51,102,94,3,5764
52,259,280,10,39886
53,109,409,3,14767
54,60,134,9,3514
55,185,134,5,12958
56,300,120,5,19851
