ID,WIDTH,HEIGHT,COPIES,PROFIT
0,706,883,4,112230
1,738,626,8,216860
2,770,298,4,69762
3,761,918,5,334578
4,797,466,4,114123
5,197,493,3,33496
6,505,413,7,35171
7,536,264,6,88257
8,419,904,5,197463
9,707,885,9,103135
10,774,986,10,458640
11,590,772,5,143587
12,379,919,9,169288
13,395,528,6,133066
14,525,314,4,102763
15,267,727,3,56372
16,327,1000,3,107555
17,210,410,4,53173
18,226,418,10,20746
19,619,824,10,111314
20,798,516,9,177842
21,572,193,7,59725
22,270,890,5,138759
23,570,1010,7,163977
24,362,470,9,40618
25,605,726,5,140729
26,315,833,10,126045
27,304,314,6,31525
28,655,717,7,191247
29,583,973,10,112554
30,443,507,4,67873
31,561,946,7,94280
32,187,539,3,38726
33,452,252,4,38247
34,629,695,4,134274
35,293,533,7,85181
36,433,765,5,76703
37,430,903,3,250753
38,712,756,8,112339
39,187,172,8,5887
40,413,992,5,115225
41,585,984,4,369291
42,735,199,3,27854
43,382,251,3,59546
44,568,332,10,84421
45,677,236,5,49767
46,492,503,5,84605
47,576,639,9,64786
48,210,323,5,18676
49,539,378,5,58878
50,154,910,5,29778
51,243,194,8,28341
52,612,575,9,193547
53,257,839,5,71425
54,143,276,4,17250
55,439,276,5,63333
56,709,248,9,96958
57,428,804,10,128605
58,784,405,9,201732
59,230,380,3,48359
60,160,189,10,8339
61,410,1002,5,71929
62,576,789,10,245097
63,616,819,3,112389
64,766,961,9,151699
65,222,793,4,56128
66,329,647,10,117323
67,267,553,6,91086
68,193,932,8,82464
69,645,1007,7,381133
70,587,720,8,78152
71,649,846,6,200205
72,532,749,8,152386
73,459,441,6,95239
74,258,282,5,43301
75,147,291,5,15608
76,148,479,9,31458
77,162,708,6,38513
78,661,564,9,240679
79,136,404,3,21587
80,742,829,5,287380
81,342,539,4,93331
82,749,674,10,111536
83,599,500,5,142977
84,769,721,5,315027
85,696,200,4,39209
86,476,626,6,70045
87,174,219,3,7185
