ID,WIDTH,HEIGHT,COPIES,PROFIT
0,624,481,7,54035
1,652,341,10,104364
2,680,162,9,33492
3,672,500,5,160920
4,704,254,6,54946
5,174,269,7,16143
6,446,225,7,16922
7,473,144,9,42482
8,370,493,5,95094
9,624,483,8,49679
10,684,538,6,221153
11,521,421,3,69146
12,335,501,3,81574
13,349,288,5,64129
14,463,171,6,49354
15,236,396,10,27141
16,288,545,3,51626
17,186,223,6,25616
18,200,228,9,10014
19,547,449,7,53600
20,705,281,6,85561
21,505,105,3,28687
22,239,485,9,66934
23,504,551,9,79099
24,319,256,3,19496
25,534,396,4,67753
26,278,454,4,60628
27,269,171,3,15192
28,579,391,6,92191
29,515,531,9,54260
30,391,276,6,32612
31,495,516,7,45375
32,165,294,5,18638
33,399,137,10,18355
34,556,379,7,64725
35,259,290,5,40968
36,383,417,5,36983
37,380,492,3,120737
38,629,412,3,54085
39,165,94,6,2839
40,365,541,9,55536
41,517,537,4,178108
42,649,108,6,13348
43,338,137,5,28758
44,502,181,8,40677
45,598,129,5,24029
46,434,274,8,40654
47,509,348,7,31178
48,185,176,5,8965
49,476,206,3,28336
50,136,496,6,14333
51,214,106,8,13637
52,541,313,9,93134
53,227,457,5,34363
54,127,150,7,8326
55,388,150,7,30422
56,626,135,9,46601
57,378,438,10,61876
