ID,WIDTH,HEIGHT,COPIES,PROFIT
0,583,793,8,120558
1,753,573,3,157501
2,385,797,6,57025
3,353,393,7,59760
4,1070,747,7,399171
5,487,668,9,116026
6,196,265,3,22090
7,541,345,3,104274
8,900,304,5,166668
9,249,586,5,65725
10,973,155,7,24855
11,983,694,5,277945
12,284,217,4,29048
13,650,545,9,108912
14,292,499,4,37358
15,427,353,6,24928
16,333,732,5,131107
17,465,741,6,93500
18,395,363,8,45971
19,451,700,6,83972
20,507,238,9,44988
21,842,215,7,55444
22,626,629,10,96742
23,507,484,8,111180
24,595,758,10,121490
25,346,539,8,38967
26,295,780,9,83587
27,184,279,10,16217
28,779,323,6,115016
29,259,250,3,35519
30,365,189,7,30471
31,517,470,4,90364
32,926,520,9,80046
33,554,836,7,248732
34,858,675,6,224312
35,269,360,3,50882
36,689,778,4,302139
37,585,344,9,57043
38,256,394,4,29670
39,487,732,5,171421
40,696,659,3,149812
41,1022,357,8,231677
42,986,498,4,114534
43,730,528,5,168642
44,1019,733,10,276426
45,482,275,7,73977
46,392,522,10,86254
47,279,545,4,98123
48,782,749,7,288489
49,414,421,10,45841
50,819,422,4,55751
51,232,594,5,89369
52,480,494,7,108306
53,915,618,10,296378
54,329,721,9,45329
55,1034,185,8,56715
56,1021,629,7,173758
57,1063,223,7,94872
58,336,369,10,41881
59,264,487,4,44860
60,1054,450,8,87053
61,752,370,10,85386
62,653,680,5,271592
63,462,685,4,80357
64,919,418,5,63401
65,602,322,5,125008
66,314,146,8,29059
67,488,588,6,122574
68,474,784,10,141005
69,530,650,8,150566
70,639,503,5,173029
71,776,511,9,241944
72,906,619,7,237688
