ID,WIDTH,HEIGHT,GROUP
0,2,4,0
1,3,2,0
2,18,2,1
3,3,2,2
4,3,15,3
5,2,2,3
6,18,4,3
7,2,82,4
8,2,2,5
9,3,20,5
10,7,2,6
11,7,7,6
12,2,2,6
13,2,2,7
14,3,37,8
15,3,40,9
16,9,12,9
17,5,2,9
18,25,5,9
19,9,22,9
20,19,23,10
21,3,2,10
22,3,52,10
23,3,2,11
24,4,33,11
25,2,2,11
26,2,2,12
27,4,2,12
28,2,2,13
29,11,2,14
30,8,2,14
31,2,2,15
32,3,2,16
33,2,2,16
34,3,22,16
35,3,4,16
36,19,59,16
37,3,22,17
38,28,22,17
39,22,2,17
40,3,4,17
41,3,4,18
42,3,40,18
43,11,38,18
44,12,7,18
45,3,38,19
46,7,36,19
47,24,2,19
48,6,82,20
49,2,2,20
50,2,2,21
51,3,2,21
52,23,2,21
53,6,2,22
54,2,2,22
55,2,2,22
56,2,4,22
57,46,12,23
58,23,38,23
59,3,6,24
60,37,22,24
61,3,4,24
62,3,2,25
63,3,14,25
64,3,2,26
65,13,7,26
66,8,2,26
67,13,2,26
68,3,5,26
69,3,2,27
