ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;382;759;0;1
1;382;759;0;2
2;382;759;0;3
3;382;759;0;4
4;382;759;0;5
5;382;759;0;6
6;382;759;0;7
7;464;841;0;8
8;464;841;0;9
9;464;841;0;10
10;464;841;0;11
11;464;841;0;12
12;464;841;0;13
13;464;841;0;14
14;464;841;0;15
15;464;841;0;16
16;464;841;0;17
17;464;841;0;18
18;464;841;0;19
19;464;841;0;20
20;464;841;0;21
21;464;841;0;22
22;464;841;0;23
23;464;841;0;24
24;464;841;0;25
25;342;566;1;1
26;342;566;1;2
27;357;921;1;3
28;357;921;1;4
29;334;1211;1;5
30;334;1211;1;6
31;574;1266;1;7
32;574;1266;1;8
33;488;777;1;9
34;810;2046;1;10
35;810;2046;1;11
36;459;495;1;12
37;459;495;1;13
38;459;495;1;14
39;459;495;1;15
40;617;1476;1;16
41;846;1476;1;17
42;778;1934;1;18
43;778;1934;1;19
44;903;2019;1;20
45;903;2019;1;21
46;1082;1071;1;22
47;1082;1071;1;23
48;382;759;1;24
49;382;759;1;25
50;313;1397;2;1
51;313;1397;2;2
52;313;1427;2;3
53;313;1427;2;4
54;323;1427;2;5
55;323;1427;2;6
56;323;1427;2;7
57;323;1427;2;8
58;355;1427;2;9
59;355;1427;2;10
60;390;1427;2;11
61;390;1427;2;12
62;313;1437;2;13
63;313;1437;2;14
64;313;1437;2;15
65;313;1437;2;16
66;538;1671;2;17
67;538;1671;2;18
68;563;1691;2;19
69;563;1691;2;20
70;860;319;2;21
71;845;1379;2;22
72;669;1453;2;23
73;1961;1504;2;24
74;830;555;2;25
75;493;1196;3;1
76;493;1196;3;2
77;493;1196;3;3
78;473;1834;3;4
79;473;1834;3;5
80;473;1834;3;6
81;473;1834;3;7
82;473;1834;3;8
83;473;1834;3;9
84;417;1813;3;10
85;417;1813;3;11
86;1160;567;3;12
87;500;1229;3;13
88;500;1229;3;14
89;305;1438;3;15
90;305;1438;3;16
91;651;831;3;17
92;313;1327;3;18
93;313;1327;3;19
94;313;1327;3;20
95;313;1327;3;21
96;313;1327;3;22
97;313;1327;3;23
98;313;1357;3;24
99;313;1357;3;25
100;470;1656;4;1
101;470;1656;4;2
102;470;1656;4;3
103;470;1656;4;4
104;470;1656;4;5
105;470;1656;4;6
106;470;1656;4;7
107;470;1656;4;8
108;470;1656;4;9
109;470;1656;4;10
110;470;1656;4;11
111;365;1477;4;12
112;365;1477;4;13
113;365;1477;4;14
114;365;1477;4;15
115;330;1497;4;16
116;330;1497;4;17
117;578;1021;4;18
118;465;793;4;19
119;465;793;4;20
120;464;796;4;21
121;464;796;4;22
122;493;1196;4;23
123;493;1196;4;24
124;493;1196;4;25
125;424;1395;5;1
126;424;1395;5;2
127;421;1405;5;3
128;421;1405;5;4
129;391;1659;5;5
130;391;1659;5;6
131;391;1659;5;7
132;391;1659;5;8
133;493;1392;5;9
134;493;1392;5;10
135;593;1016;5;11
136;593;1016;5;12
137;470;1573;5;13
138;470;1573;5;14
139;470;1573;5;15
140;470;1573;5;16
141;470;1573;5;17
142;470;1573;5;18
143;470;1573;5;19
144;470;1573;5;20
145;470;1573;5;21
146;470;1573;5;22
147;470;1656;5;23
148;470;1656;5;24
149;470;1656;5;25
150;372;1766;6;1
151;372;1766;6;2
152;330;1473;6;3
153;330;1473;6;4
154;424;1024;6;5
155;424;1024;6;6
156;424;1024;6;7
157;424;1024;6;8
158;429;1034;6;9
159;429;1034;6;10
160;429;1034;6;11
161;429;1034;6;12
162;566;1611;6;13
163;566;1611;6;14
164;554;885;6;15
165;554;885;6;16
166;554;885;6;17
167;554;885;6;18
168;777;2037;6;19
169;269;1087;6;20
170;269;1087;6;21
171;425;1185;6;22
172;425;1185;6;23
173;421;1209;6;24
174;421;1209;6;25
175;542;985;7;1
176;542;985;7;2
177;542;985;7;3
178;542;985;7;4
179;542;985;7;5
180;542;985;7;6
181;542;985;7;7
182;542;985;7;8
183;542;985;7;9
184;627;985;7;10
185;627;985;7;11
186;591;1010;7;12
187;521;1060;7;13
188;521;1060;7;14
189;521;1060;7;15
190;521;1060;7;16
191;231;776;7;17
192;325;1576;7;18
193;325;1576;7;19
194;236;1658;7;20
195;236;1658;7;21
196;352;1761;7;22
197;352;1761;7;23
198;372;1766;7;24
199;372;1766;7;25
200;367;931;8;1
201;581;201;8;2
