ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;403;1515;0;1
1;386;1495;0;2
2;386;1495;0;3
3;742;600;0;4
4;1178;2088;0;5
5;561;1346;0;6
6;561;1346;0;7
7;321;1533;0;8
8;321;1533;0;9
9;644;330;0;10
10;1286;420;1;1
11;1286;420;1;2
12;1286;420;1;3
13;401;1515;1;4
14;401;1515;1;5
15;403;1515;1;6
16;808;818;2;1
17;462;1115;2;2
18;462;1115;2;3
19;462;1115;2;4
20;935;2013;2;5
21;935;2013;2;6
22;853;1797;2;7
23;853;1797;2;8
24;853;1797;2;9
25;853;1797;2;10
26;701;910;3;1
27;708;1324;3;2
28;752;1913;3;3
29;665;1852;3;4
30;810;284;3;5
31;520;1130;3;6
32;520;1130;3;7
33;719;1905;3;8
34;719;1905;3;9
35;808;818;3;10
36;814;1020;4;1
37;814;1020;4;2
38;1030;2093;4;3
39;508;820;4;4
40;508;820;4;5
41;508;820;4;6
42;700;910;4;7
43;700;910;4;8
44;641;1455;5;1
45;701;860;5;2
46;701;860;5;3
47;781;2039;5;4
48;686;1528;5;5
49;674;1001;5;6
50;674;1001;5;7
51;567;1332;5;8
52;567;1332;5;9
53;719;381;6;1
54;769;399;6;2
55;663;433;6;3
56;663;433;6;4
57;605;1258;6;5
58;605;1258;6;6
59;365;1507;6;7
60;365;1507;6;8
61;380;1507;6;9
62;380;1507;6;10
63;721;335;7;1
64;621;335;7;2
65;699;1174;7;3
66;669;399;7;4
67;484;718;7;5
68;484;718;7;6
69;1069;598;7;7
70;1071;799;7;8
71;500;540;8;1
72;601;398;8;2
73;539;872;8;3
74;735;872;8;4
75;545;872;8;5
76;572;872;8;6
77;645;926;8;7
78;633;872;8;8
79;645;872;8;9
80;645;872;8;10
81;593;1190;9;1
82;593;1190;9;2
83;735;1957;9;3
84;666;2205;9;4
85;780;838;9;5
