ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;315;1142;0;1
1;315;1142;0;2
2;902;1558;0;3
3;516;904;0;4
4;516;904;0;5
5;848;274;0;6
6;848;274;0;7
7;588;1104;0;8
8;762;506;0;9
9;696;1847;0;10
10;457;947;1;1
11;399;577;1;2
12;399;577;1;3
13;670;2125;1;4
14;625;1455;1;5
15;599;2155;1;6
16;599;2155;1;7
17;599;2155;1;8
18;599;2155;1;9
19;650;580;1;10
20;310;557;2;1
21;580;947;2;2
22;580;937;2;3
23;440;717;2;4
24;695;1207;2;5
25;490;327;2;6
26;695;277;2;7
27;899;1277;2;8
28;899;1277;2;9
29;457;947;2;10
30;526;807;3;1
31;526;807;3;2
32;526;807;3;3
33;495;1187;3;4
34;495;1097;3;5
35;495;1097;3;6
36;495;1187;3;7
37;322;392;3;8
38;352;502;3;9
39;743;1075;3;10
40;359;804;4;1
41;544;1604;4;2
42;544;1604;4;3
43;544;1604;4;4
44;704;1431;4;5
45;449;968;4;6
46;324;1567;4;7
47;324;1567;4;8
48;324;1567;4;9
49;324;1567;4;10
50;464;1400;5;1
51;502;824;5;2
52;302;527;5;3
53;559;827;5;4
54;559;827;5;5
55;561;827;5;6
56;561;827;5;7
57;539;797;5;8
58;539;797;5;9
59;359;804;5;10
60;595;1122;6;1
61;831;862;6;2
62;277;1675;6;3
63;523;1675;6;4
64;1004;1303;6;5
65;1004;1303;6;6
66;740;445;6;7
67;592;1315;6;8
