DEFECT_ID;PLATE_ID;X;Y;WIDTH;HEIGHT
0;0;1233.0;109.0;1.0;1.0
1;1;2088.0;1845.0;1.0;1.0
2;1;243.0;2445.0;1.0;1.0
3;2;2719.0;1366.0;1.0;1.0
4;2;5452.0;2503.0;1.0;1.0
5;2;1448.0;1521.0;1.0;1.0
6;4;1100.0;706.0;1.0;1.0
7;5;2111.0;1214.0;1.0;1.0
8;5;1215.0;882.0;1.0;1.0
9;5;4916.0;2254.0;1.0;1.0
10;5;2403.0;1271.0;1.0;1.0
11;6;49.0;2450.0;1.0;1.0
12;6;4414.0;1982.0;6.0;4.0
13;6;4686.0;1540.0;1.0;1.0
14;6;4692.0;1551.0;2.0;1.0
15;6;4648.0;1577.0;2.0;1.0
16;6;4135.0;2425.0;1.0;1.0
17;6;5928.0;958.0;1.0;1.0
18;7;3869.0;2388.0;1.0;1.0
19;7;1145.0;928.0;1.0;1.0
20;7;3652.0;1399.0;1.0;1.0
21;7;1683.0;1133.0;2.0;1.0
22;7;3592.0;2139.0;1.0;1.0
23;9;4614.0;1778.0;1.0;1.0
24;9;5660.0;1897.0;1.0;1.0
25;9;1476.0;31.0;1.0;1.0
26;9;5933.0;1763.0;1.0;1.0
27;10;2864.0;845.0;1.0;1.0
28;10;2923.0;2683.0;1.0;1.0
29;10;4409.0;413.0;2.0;1.0
30;11;3234.0;2683.0;2.0;1.0
31;11;1415.0;3065.0;1.0;1.0
32;11;1409.0;947.0;1.0;1.0
33;12;504.0;2994.0;1.0;1.0
34;12;588.0;1633.0;1.0;1.0
35;12;2704.0;179.0;2.0;1.0
36;12;2681.0;161.0;2.0;1.0
37;13;5093.0;25.0;2.0;1.0
38;14;870.0;1625.0;1.0;1.0
39;14;2909.0;728.0;2.0;1.0
40;15;1895.0;2964.0;1.0;1.0
41;15;651.0;287.0;1.0;1.0
42;16;1116.0;257.0;2.0;1.0
43;16;3893.0;381.0;1.0;1.0
44;16;2649.0;2720.0;1.0;1.0
45;16;2629.0;2756.0;1.0;1.0
46;17;5630.0;1977.0;1.0;1.0
47;17;5650.0;1970.0;1.0;1.0
48;17;4169.0;2892.0;1.0;1.0
49;17;1043.0;3029.0;1.0;1.0
50;17;2294.0;2430.0;2.0;1.0
51;17;1531.0;1495.0;1.0;1.0
52;17;4527.0;366.0;1.0;1.0
53;17;3731.0;3177.0;2.0;1.0
54;18;1626.0;31.0;1.0;1.0
55;18;4946.0;2711.0;1.0;1.0
56;18;5749.0;3174.0;1.0;1.0
57;18;245.0;639.0;1.0;1.0
58;18;4923.0;3058.0;1.0;1.0
59;20;4373.0;2716.0;1.0;1.0
60;21;5591.0;498.0;1.0;1.0
61;21;570.0;2991.0;1.0;1.0
62;22;3316.0;2304.0;1.0;1.0
63;22;3298.0;2274.0;1.0;1.0
64;22;5350.0;2326.0;2.0;1.0
65;22;3491.0;838.0;1.0;1.0
66;22;3410.0;1548.0;1.0;1.0
67;23;247.0;527.0;1.0;1.0
68;23;5916.0;3161.0;1.0;1.0
69;23;5802.0;2417.0;1.0;1.0
70;23;1603.0;2123.0;1.0;1.0
71;23;1119.0;2802.0;1.0;1.0
72;24;3180.0;2618.0;2.0;1.0
73;24;1770.0;2756.0;2.0;1.0
74;24;3348.0;2359.0;1.0;1.0
75;24;2154.0;2549.0;1.0;1.0
76;24;4228.0;2262.0;1.0;1.0
77;25;1738.0;2805.0;1.0;1.0
78;26;219.0;569.0;1.0;1.0
79;26;5829.0;504.0;1.0;1.0
80;27;3169.0;2883.0;1.0;1.0
81;27;4074.0;496.0;1.0;1.0
82;27;4276.0;492.0;1.0;1.0
83;27;4977.0;2660.0;2.0;1.0
84;27;5219.0;2680.0;1.0;1.0
85;27;1838.0;2982.0;1.0;1.0
86;28;4320.0;1689.0;2.0;1.0
87;28;4275.0;1669.0;1.0;3.0
88;28;4245.0;1684.0;10.0;7.0
89;28;2504.0;1006.0;1.0;1.0
90;28;4277.0;1662.0;4.0;1.0
91;28;4167.0;1711.0;1.0;1.0
92;28;4323.0;1657.0;1.0;1.0
93;28;4261.0;1690.0;1.0;1.0
94;29;2576.0;24.0;1.0;1.0
95;29;5892.0;478.0;2.0;2.0
96;29;2026.0;1202.0;1.0;1.0
97;29;1320.0;3094.0;1.0;1.0
98;30;5944.0;2141.0;1.0;1.0
99;30;4626.0;2796.0;1.0;1.0
100;30;626.0;276.0;2.0;2.0
101;31;344.0;37.0;1.0;1.0
102;31;1801.0;2764.0;2.0;1.0
103;31;466.0;2701.0;1.0;1.0
104;31;269.0;683.0;1.0;1.0
105;32;193.0;2844.0;1.0;1.0
106;32;249.0;768.0;1.0;1.0
107;32;469.0;1252.0;1.0;1.0
108;34;4592.0;477.0;1.0;1.0
109;34;5364.0;1307.0;1.0;1.0
110;34;5441.0;1265.0;1.0;1.0
111;34;5895.0;2372.0;2.0;1.0
112;34;1959.0;3074.0;1.0;1.0
113;35;275.0;28.0;1.0;1.0
114;35;3793.0;2600.0;1.0;1.0
115;35;5642.0;1201.0;1.0;1.0
116;35;5640.0;1234.0;1.0;1.0
117;36;771.0;2996.0;1.0;2.0
118;36;2247.0;3160.0;1.0;2.0
119;36;3477.0;2996.0;2.0;2.0
120;36;3950.0;3156.0;1.0;2.0
121;37;5669.0;3003.0;1.0;2.0
122;39;3175.0;2998.0;9.0;7.0
123;40;4676.0;153.0;2.0;1.0
124;40;4967.0;250.0;2.0;1.0
125;40;4967.0;250.0;2.0;1.0
126;41;160.0;2520.0;4.0;4.0
127;42;2064.0;952.0;4.0;5.0
128;42;3794.0;814.0;4.0;4.0
129;42;4965.0;83.0;4.0;5.0
130;43;3045.0;285.0;10.0;5.0
131;43;4262.0;80.0;5.0;5.0
132;43;5212.0;2673.0;4.0;3.0
133;43;5458.0;1664.0;2.0;2.0
134;44;3698.0;237.0;11.0;6.0
135;45;5923.0;2670.0;1.0;1.0
136;45;89.0;2598.0;1.0;1.0
137;45;3889.0;2389.0;1.0;1.0
138;45;95.0;733.0;1.0;1.0
139;45;5908.0;991.0;1.0;1.0
140;45;3550.0;2891.0;2.0;1.0
141;45;754.0;821.0;4.0;5.0
142;45;3918.0;3168.0;2.0;2.0
143;47;3700.0;2784.0;1.0;1.0
144;47;479.0;1487.0;3.0;3.0
145;48;2237.0;2165.0;1.0;1.0
146;48;5958.0;1815.0;1.0;1.0
147;48;2905.0;904.0;1.0;1.0
148;49;788.0;1287.0;3.0;5.0
149;49;2855.0;3052.0;4.0;4.0
150;50;456.0;211.0;1.0;1.0
151;50;1899.0;745.0;3.0;3.0
152;51;4565.0;1937.0;1.0;6.0
153;51;3202.0;898.0;1.0;1.0
154;51;693.0;3183.0;3.0;2.0
