PLATE_ID,COPIES,NODE_ID,X,Y,WIDTH,HEIGHT,TYPE,CUT,PARENT
0,1,0,0,0,1000,700,0,0,
0,1,1,0,0,300,700,-2,1,0
0,1,2,0,0,300,300,-2,2,1
0,1,3,0,0,150,300,1,3,2
0,1,4,150,0,150,300,1,3,2
0,1,5,0,300,300,200,-2,2,1
0,1,6,0,300,250,200,0,3,5
0,1,7,250,300,50,200,-1,3,5
0,1,8,0,500,300,200,-2,2,1
0,1,9,0,500,250,200,0,3,8
0,1,10,250,500,50,200,-1,3,8
0,1,11,300,0,150,700,-2,1,0
0,1,12,300,0,150,200,-2,2,11
0,1,13,300,0,150,200,2,3,12
0,1,14,300,200,150,200,-2,2,11
0,1,15,300,200,150,200,2,3,14
0,1,16,300,400,150,200,-2,2,11
0,1,17,300,400,150,200,2,3,16
0,1,18,300,600,150,100,-1,2,11
0,1,19,450,0,550,700,-3,1,0
