        50       100       100
      1470        42        35         3
       992        32        31         4
      1488        48        31         3
      4209        69        61         3
       999        27        37         1
      1600        64        25         1
      3465        55        63         2
      1872        39        48         3
      3050        61        50         4
      2394        38        63         2
      2132        41        52         4
      3286        53        62         3
      2205        49        45         4
      1760        40        44         3
      2160        40        54         1
      3060        45        68         2
      1716        39        44         1
      1960        56        35         1
      1400        28        50         1
      2622        57        46         2
      1155        35        33         4
      3233        53        61         4
      1404        52        27         1
      3068        59        52         1
      3780        63        60         4
      1189        29        41         4
      4970        70        71         1
      2379        61        39         2
      1768        26        68         4
      1725        25        69         4
      1856        58        32         4
      1932        69        28         4
      2010        30        67         1
      1584        44        36         1
      3591        57        63         2
      1792        32        56         1
      4234        58        73         4
      3358        46        73         1
      1175        47        25         1
      2565        57        45         2
      1890        70        27         4
       960        32        30         2
      3552        48        74         3
      4071        69        59         4
      3618        54        67         2
       962        26        37         2
      2784        48        58         4
      1728        64        27         1
      2117        73        29         4
      2067        39        53         2
