        50       100       100
      3774        74        51         1
      1650        30        55         4
      2343        71        33         1
      2288        52        44         4
      2747        41        67         4
       832        32        26         3
      1271        31        41         4
      2448        68        36         2
      4026        66        61         1
      1984        31        64         2
      4154        62        67         4
      4355        65        67         4
      3650        73        50         2
      1215        45        27         3
      2805        51        55         1
      1566        58        27         1
      1836        68        27         2
      2409        33        73         1
      1596        28        57         3
      2856        68        42         3
      1856        64        29         2
      4480        70        64         3
      2784        58        48         4
      2124        36        59         2
      2881        67        43         1
      3410        55        62         1
      2254        49        46         4
      3256        44        74         2
       988        38        26         1
       900        25        36         4
      1155        35        33         4
      3599        61        59         4
      1428        28        51         2
      3010        70        43         2
      2142        51        42         3
      1232        44        28         2
      2920        73        40         2
       837        27        31         1
      4012        68        59         4
      1827        29        63         3
      3484        67        52         4
      1368        38        36         1
      1932        46        42         2
      2106        54        39         2
       725        29        25         4
      2520        35        72         3
      2016        42        48         2
      3168        48        66         1
      3510        54        65         2
      3700        74        50         1
