ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,113,92,33,1,1,0,0,0,0,7
1,52,37,28,1,1,1,1,1,1,6
2,57,33,29,1,1,1,1,1,1,8
3,99,37,30,1,1,0,0,1,1,5
4,92,64,33,1,1,0,0,1,1,11
5,119,59,39,1,1,0,0,1,1,4
6,54,52,49,1,1,1,1,1,1,16
7,75,45,35,1,1,0,0,1,1,4
8,79,68,44,1,1,1,1,1,1,6
9,116,49,47,1,1,0,0,1,1,5
10,83,44,23,1,1,0,0,1,1,7
11,98,96,56,1,1,1,1,1,1,9
12,78,72,57,1,1,1,1,1,1,4
13,98,88,47,1,1,0,0,1,1,9
14,41,33,31,1,1,1,1,1,1,13
15,59,35,34,1,1,1,1,1,1,6
16,83,78,37,1,1,0,0,0,0,4
17,68,34,33,1,1,0,0,1,1,8
18,103,69,49,1,1,0,0,1,1,8
19,97,53,32,1,1,0,0,1,1,13
