ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,109,68,64,1,1,1,1,1,1,1
1,84,58,55,1,1,1,1,1,1,6
2,96,83,24,1,1,0,0,0,0,2
3,74,67,37,1,1,0,0,1,1,3
4,107,73,70,1,1,1,1,1,1,5
5,80,73,54,1,1,1,1,1,1,6
6,72,41,33,1,1,0,0,1,1,4
7,84,79,74,1,1,1,1,1,1,7
8,40,37,20,1,1,0,0,1,1,3
9,74,73,42,1,1,1,1,1,1,5
10,55,48,33,1,1,1,1,1,1,8
11,109,74,70,1,1,1,1,1,1,5
12,107,44,39,1,1,0,0,1,1,7
13,99,51,47,1,1,0,0,1,1,5
14,80,62,38,1,1,0,0,1,1,6
15,46,43,37,1,1,1,1,1,1,4
16,94,69,36,1,1,0,0,1,1,6
17,98,64,48,1,1,0,0,1,1,5
18,99,91,70,1,1,1,1,1,1,6
19,113,76,52,1,1,0,0,1,1,6
