ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,52,36,25,1,1,0,0,1,1,12
1,63,37,21,1,1,0,0,1,1,11
2,100,61,36,1,1,0,0,1,1,9
3,79,52,36,1,1,0,0,1,1,8
4,99,63,36,1,1,0,0,1,1,9
5,97,49,30,1,1,0,0,1,1,9
6,90,69,55,1,1,1,1,1,1,10
7,91,33,28,1,1,0,0,1,1,8
8,111,76,41,1,1,0,0,1,1,4
9,95,44,35,1,1,0,0,1,1,5
10,74,47,29,1,1,0,0,1,1,8
11,100,48,20,1,1,0,0,0,0,6
12,75,38,30,1,1,0,0,1,1,8
13,86,68,44,1,1,1,1,1,1,8
14,72,52,33,1,1,0,0,1,1,8
15,112,52,25,1,1,0,0,0,0,5
16,109,48,40,1,1,0,0,1,1,7
17,83,74,42,1,1,1,1,1,1,16
18,101,93,40,1,1,0,0,0,0,6
19,76,66,31,1,1,0,0,0,0,15
