ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,74,60,32,1,1,0,0,1,1,7
1,100,50,43,1,1,0,0,1,1,7
2,95,74,42,1,1,0,0,1,1,6
3,95,70,30,1,1,0,0,0,0,8
4,45,37,24,1,1,1,1,1,1,4
5,67,60,25,1,1,0,0,0,0,9
6,55,51,35,1,1,1,1,1,1,4
7,76,71,61,1,1,1,1,1,1,6
8,119,88,51,1,1,0,0,1,1,8
9,98,81,26,1,1,0,0,0,0,6
10,86,69,61,1,1,1,1,1,1,7
11,117,54,30,1,1,0,0,1,1,3
12,96,40,24,1,1,0,0,1,1,4
13,54,52,41,1,1,1,1,1,1,7
14,89,61,41,1,1,0,0,1,1,8
15,82,81,71,1,1,1,1,1,1,8
16,97,53,49,1,1,1,1,1,1,5
17,74,72,35,1,1,0,0,0,0,5
18,83,77,47,1,1,1,1,1,1,7
19,80,48,45,1,1,1,1,1,1,5
