ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,75,54,35,1,1,0,0,1,1,10
1,107,60,49,1,1,0,0,1,1,8
2,70,67,42,1,1,1,1,1,1,10
3,78,71,44,1,1,1,1,1,1,10
4,78,61,27,1,1,0,0,0,0,6
5,78,73,48,1,1,1,1,1,1,3
6,109,87,32,1,1,0,0,0,0,5
7,91,87,25,1,1,0,0,0,0,7
8,67,51,47,1,1,1,1,1,1,4
9,67,63,60,1,1,1,1,1,1,8
10,115,59,34,1,1,0,0,1,1,6
11,102,35,34,1,1,0,0,1,1,10
12,117,54,48,1,1,0,0,1,1,4
13,70,61,40,1,1,1,1,1,1,6
14,64,63,59,1,1,1,1,1,1,6
15,95,87,63,1,1,1,1,1,1,5
16,113,92,23,1,1,0,0,0,0,5
17,113,49,32,1,1,0,0,1,1,7
18,99,75,63,1,1,1,1,1,1,5
19,56,55,46,1,1,1,1,1,1,5
