ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,86,71,41,1,1,0,0,1,1,13
1,75,58,58,1,1,1,1,1,1,5
2,100,81,27,1,1,0,0,0,0,8
3,59,42,24,1,1,0,0,1,1,10
4,69,37,30,1,1,0,0,1,1,8
5,63,50,36,1,1,1,1,1,1,7
6,96,72,34,1,1,0,0,0,0,7
7,111,71,29,1,1,0,0,0,0,7
8,102,67,53,1,1,1,1,1,1,10
9,71,34,32,1,1,0,0,1,1,6
10,88,75,53,1,1,1,1,1,1,2
11,50,46,42,1,1,1,1,1,1,6
12,84,70,41,1,1,0,0,1,1,13
13,98,48,44,1,1,0,0,1,1,6
14,54,43,25,1,1,0,0,1,1,3
15,63,61,49,1,1,1,1,1,1,9
16,106,96,51,1,1,0,0,1,1,7
17,97,64,26,1,1,0,0,0,0,9
18,68,39,29,1,1,0,0,1,1,7
19,68,62,39,1,1,1,1,1,1,8
