ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,90,70,63,1,1,1,1,1,1,3
1,84,78,28,1,1,0,0,0,0,1
2,94,85,39,1,1,0,0,0,0,6
3,80,76,54,1,1,1,1,1,1,7
4,69,50,45,1,1,1,1,1,1,6
5,70,57,37,1,1,1,1,1,1,8
6,94,61,54,1,1,1,1,1,1,4
7,92,44,29,1,1,0,0,1,1,7
8,72,53,37,1,1,1,1,1,1,4
9,89,43,27,1,1,0,0,1,1,4
10,91,44,28,1,1,0,0,1,1,7
11,78,76,68,1,1,1,1,1,1,11
12,84,61,33,1,1,0,0,1,1,7
13,107,40,39,1,1,0,0,1,1,5
14,114,75,69,1,1,1,1,1,1,7
15,57,55,48,1,1,1,1,1,1,11
16,99,57,47,1,1,0,0,1,1,4
17,92,66,44,1,1,0,0,1,1,7
18,73,48,42,1,1,1,1,1,1,10
19,99,46,39,1,1,0,0,1,1,10
