ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,114,67,25,1,1,0,0,0,0,13
1,92,79,25,1,1,0,0,0,0,12
2,89,87,36,1,1,0,0,0,0,12
3,95,71,36,1,1,0,0,1,1,3
4,90,83,43,1,1,0,0,1,1,5
5,93,39,28,1,1,0,0,1,1,11
6,69,54,31,1,1,0,0,1,1,11
7,107,61,37,1,1,0,0,1,1,3
8,98,52,40,1,1,0,0,1,1,8
9,83,69,60,1,1,1,1,1,1,6
10,98,63,58,1,1,1,1,1,1,9
11,45,40,26,1,1,1,1,1,1,9
12,63,44,36,1,1,1,1,1,1,9
13,96,56,43,1,1,0,0,1,1,8
14,88,42,35,1,1,0,0,1,1,9
15,40,37,36,1,1,1,1,1,1,11
16,97,74,67,1,1,1,1,1,1,6
17,76,45,42,1,1,1,1,1,1,3
18,64,43,42,1,1,1,1,1,1,4
19,91,53,37,1,1,0,0,1,1,4
